strain,antismash_gene,start,end,direction,gene_number,molecule_number,antismash_smcog
CR16_112_1,ctg112_8,20575,21907,1,gene8,30,other
CR16_112_1,ctg112_9,22059,23436,-1,gene9,30,other
CR16_112_1,ctg112_10,23497,25543,-1,gene10,30,other
CR16_112_1,ctg112_11,25895,26099,-1,gene11,30,other
CR16_21_1,ctg21_1,0,12459,-1,gene1,31,other
CR16_21_1,ctg21_2,12600,13956,-1,gene2,31,other
CR16_21_1,ctg21_3,14203,15310,-1,gene3,31,other
CR16_21_1,ctg21_4,15510,15927,-1,gene4,31,other
CR16_21_1,ctg21_5,16022,16394,1,gene5,31,other
CR16_21_1,ctg21_6,16390,17332,1,gene6,31,other
CR16_21_1,ctg21_7,17328,18126,1,gene7,31,other
CR16_21_1,ctg21_8,18189,18465,-1,gene8,31,other
CR16_21_1,ctg21_9,18622,19432,-1,gene9,31,other
CR16_21_1,ctg21_10,19468,20869,-1,gene10,31,other
CR16_21_1,ctg21_11,21792,22746,1,gene11,31,other
CR16_21_1,ctg21_12,22980,23157,1,gene12,31,other
CR16_21_1,ctg21_13,23153,25445,1,gene13,31,other
CR16_21_1,ctg21_14,25591,26854,1,gene14,31,other
CR16_21_1,ctg21_15,26896,27508,1,gene15,31,other
CR16_21_1,ctg21_16,27518,28304,-1,gene16,31,other
CR16_21_1,ctg21_17,28380,29892,-1,gene17,31,other
CR16_21_1,ctg21_18,29888,30422,-1,gene18,31,other
CR16_21_1,ctg21_19,30465,31596,1,gene19,31,other
CR16_22_1,ctg22_1,1,2254,1,gene1,32,other
CR16_22_1,ctg22_2,2343,2535,1,gene2,32,other
CR16_22_1,ctg22_3,2643,3414,-1,gene3,32,other
CR16_22_1,ctg22_4,3606,3762,1,gene4,32,other
CR16_22_1,ctg22_5,3839,4016,1,gene5,32,other
CR16_22_1,ctg22_6,3963,4764,1,gene6,32,other
CR16_22_1,ctg22_7,4715,14384,-1,gene7,32,other
CR16_23_1,ctg23_1,1,8563,-1,gene1,33,other
CR16_23_1,ctg23_2,8619,13395,-1,gene2,33,other
CR16_24_1,ctg24_1,0,6078,-1,gene1,34,other
CR16_24_1,ctg24_2,6242,10514,-1,gene2,34,other
CR46_31_1,ctg31_1,1,8452,-1,gene1,35,other
CR46_31_1,ctg31_2,8508,14220,-1,gene2,35,other
CR46_32_1,ctg32_1,2,13340,-1,gene1,36,other
CR46_32_1,ctg32_2,13504,17764,-1,gene2,36,other
D62_16_1,ctg16_1,1,8065,-1,gene1,37,other
D62_18_1,ctg18_1,95,707,1,gene1,38,other
D62_18_1,ctg18_2,703,2062,1,gene2,38,other
D62_18_1,ctg18_3,2099,11756,-1,gene3,38,other
EL5_RE_NA,ctg57_47,41021,41540,1,gene1,39,other
EL5_RE_NA,ctg57_48,41782,42046,1,gene2,39,other
EL5_RE_NA,ctg57_49,42046,42241,1,gene3,39,other
EL5_RE_NA,ctg57_50,42562,45739,1,gene4,39,other
EL5_RE_NA,ctg57_51,45848,47276,-1,gene5,39,other
EL5_RE_NA,ctg57_52,47445,48858,1,gene6,39,other
EL5_RE_NA,ctg57_53,48854,50435,1,gene7,39,other
EL5_RE_NA,ctg57_54,50431,51952,1,gene8,39,biosynthetic-additional
EL5_RE_NA,ctg57_55,51980,53432,1,gene9,39,biosynthetic-additional
EL5_RE_NA,ctg57_56,53551,54397,-1,gene10,39,biosynthetic-additional
EL5_RE_NA,ctg57_57,54627,56067,1,gene11,39,other
EL5_RE_NA,ctg57_58,56085,56550,1,gene12,39,other
EL5_RE_NA,ctg57_59,56665,57136,1,gene13,39,other
EL5_RE_NA,ctg57_60,57142,57640,1,gene14,39,other
EL5_RE_NA,ctg57_61,57636,58917,1,gene15,39,other
EL5_RE_NA,ctg57_62,59110,60163,1,gene16,39,other
EL5_RE_NA,ctg57_63,60314,65540,1,gene17,39,other
EL5_RE_NA,ctg57_64,65536,68857,1,gene18,39,other
EL5_RE_NA,ctg57_65,68853,73326,1,gene19,39,other
EL5_RE_NA,ctg57_66,73375,74446,1,gene20,39,other
EL5_RE_NA,ctg57_67,74442,76794,1,gene21,39,other
